,beta0,gamma0,alpha0,beta,gamma,alpha,p_0,p_k,p_p,structural_zeros,structural_ks,from_nb,y_mean,y_std,n_unique,r_hat,p0_nb,pk_nb,zero_inflated,k_inflated
32,-2.197224577336219,0.0,-1.0,0,0.0,1.0,0.38,0.48,0.14,0.094,0.506,0.4,1.6942857142857144,1.504804694110538,7,5.034809726199371,0.2321382813353417,0.1320031809401806,True,True
33,-2.197224577336219,0.0,-1.0,0,1.0,-1.0,0.3057142857142857,0.5257142857142857,0.1685714285714286,0.088,0.5,0.412,1.94,1.5381863320082771,9,8.834385256927623,0.17311439158965777,0.15853948323457345,True,True
34,-2.197224577336219,0.0,-1.0,0,1.0,0.0,0.3485714285714286,0.5428571428571428,0.10857142857142865,0.086,0.504,0.41,1.7485714285714287,1.405957734444318,4,13.401531300621262,0.19329427691313786,0.14723062170822532,True,True
35,-2.197224577336219,0.0,-1.0,0,1.0,1.0,0.4114285714285714,0.4857142857142857,0.10285714285714281,0.106,0.502,0.392,1.6028571428571428,1.4460668351961738,6,5.261934895084783,0.24679802627251157,0.125285005420578,True,True
36,-2.197224577336219,0.0,0.0,0,-1.0,-1.0,0.3,0.5457142857142857,0.15428571428571425,0.1,0.516,0.384,1.9057142857142857,1.4441747144346924,7,20.184634114634154,0.1618572075238484,0.16430114300083312,True,True
37,-2.197224577336219,0.0,0.0,0,-1.0,0.0,0.29428571428571426,0.5057142857142857,0.20000000000000007,0.11,0.484,0.406,1.8314285714285714,1.359519430635653,6,198.88691955617185,0.1615326925559216,0.1633278219587848,True,True
38,-2.197224577336219,0.0,0.0,0,-1.0,1.0,0.21428571428571427,0.5485714285714286,0.2371428571428571,0.106,0.524,0.37,2.4971428571428573,2.1976134117098614,13,2.673565616967678,0.17144803727468924,0.1477366569040724,True,True
39,-2.197224577336219,0.0,0.0,0,0.0,-1.0,0.25142857142857145,0.5314285714285715,0.21714285714285708,0.084,0.506,0.41,2.3857142857142857,3.0856580019426856,13,0.797642212195166,0.33155493315715795,0.09330550436872068,False,True
40,-2.197224577336219,0.0,0.0,0,0.0,0.0,0.3057142857142857,0.49142857142857144,0.20285714285714285,0.128,0.484,0.388,1.7857142857142858,1.3677922011497188,6,37.45278159340657,0.1747410325598597,0.1559667346740196,True,True
41,-2.197224577336219,0.0,0.0,0,0.0,1.0,0.24,0.5685714285714286,0.1914285714285714,0.08,0.522,0.398,2.3285714285714287,1.8490408616533751,13,4.972799866999883,0.1480879807561367,0.16580976209357076,True,True
42,-2.197224577336219,0.0,0.0,0,1.0,-1.0,0.18,0.56,0.26,0.096,0.514,0.39,2.74,3.099745807121595,16,1.093060056401956,0.25374052071820125,0.10931190424291067,False,True
43,-2.197224577336219,0.0,0.0,0,1.0,1.0,0.3485714285714286,0.5314285714285715,0.12,0.116,0.502,0.382,1.8114285714285714,1.4733101005818372,7,9.13459032512226,0.19156737800762,0.14915399136500676,True,True
44,-2.197224577336219,0.0,1.0,0,-1.0,-1.0,0.19714285714285715,0.5457142857142857,0.2571428571428571,0.096,0.516,0.388,2.5628571428571427,2.1291516954609118,15,3.3334030659727856,0.14940095003133425,0.15753124462217605,True,True
45,-2.197224577336219,0.0,1.0,0,-1.0,1.0,0.13142857142857142,0.5457142857142857,0.32285714285714284,0.1,0.508,0.392,4.034285714285715,5.1325101717501855,27,0.7295673154956054,0.25437868178351236,0.08868517017573606,False,True
46,-2.197224577336219,0.0,1.0,0,0.0,-1.0,0.1657142857142857,0.5314285714285715,0.3028571428571428,0.092,0.488,0.42,3.3057142857142856,3.8734599754926804,18,0.934156914630913,0.24340060509697684,0.1019302827532294,False,True
47,-2.197224577336219,0.0,1.0,0,0.0,1.0,0.2,0.48857142857142855,0.3114285714285715,0.118,0.456,0.426,3.1542857142857144,3.8165934537864885,22,0.8718394050532923,0.2634545074413377,0.09896027609283514,False,True
48,-2.197224577336219,0.0,1.0,0,1.0,-1.0,0.14285714285714285,0.54,0.31714285714285717,0.094,0.52,0.386,4.622857142857143,7.772594781390178,30,0.3830554844567358,0.3736157722494214,0.061914307047852696,False,True
49,-2.197224577336219,0.0,1.0,0,1.0,1.0,0.22285714285714286,0.54,0.2371428571428571,0.118,0.48,0.402,2.4685714285714284,2.197389885440661,15,2.5821914131492716,0.17686041806503436,0.14586665012111757,True,True
50,-2.197224577336219,1.0,0.0,0,-1.0,1.0,0.10285714285714286,0.7657142857142857,0.13142857142857145,0.074,0.724,0.202,2.822857142857143,1.7304099112374267,13,46.474170031648995,0.06454147801894343,0.21600886338110384,True,True
51,-2.197224577336219,1.0,1.0,0,-1.0,1.0,0.12571428571428572,0.7171428571428572,0.15714285714285714,0.104,0.712,0.184,3.5685714285714285,3.7553607473877766,21,1.2088954902480624,0.18989799297831994,0.1130260993225848,False,True
52,-2.197224577336219,1.0,1.0,0,0.0,-1.0,0.11428571428571428,0.7657142857142857,0.12,0.094,0.728,0.178,2.9685714285714284,2.662836825467666,14,2.1378315259548115,0.15545222927753008,0.14129242175711215,False,True
53,-2.197224577336219,1.0,1.0,0,0.0,1.0,0.12571428571428572,0.7742857142857142,0.10000000000000009,0.108,0.732,0.16,3.065714285714286,3.246107905945922,17,1.2579269557148551,0.21159569528949862,0.1163344425859237,False,True
54,-2.197224577336219,1.0,1.0,0,1.0,-1.0,0.09428571428571429,0.7228571428571429,0.18285714285714283,0.088,0.72,0.192,3.9571428571428573,5.044318527459131,25,0.7287311438542409,0.2576454797677255,0.08889967606187028,False,True
